2026-08-08 00:55:18 - === Simulation Started at: 2026-08-08 00:55:18 ===
2026-08-08 00:55:18 - cells: 254, 200, square resolution: 0.01
2026-08-08 00:56:16 - Step:   109 | Sim Clock Time:    10.90s | Max Depth: 0.016096m | Min Depth: 0.000001m
2026-08-08 00:56:16 - Step:   110 | Sim Clock Time:    11.00s | Max Depth: 0.017098m | Min Depth: 0.000001m
2026-08-08 00:56:16 - Step:   111 | Sim Clock Time:    11.10s | Max Depth: 0.017928m | Min Depth: 0.000001m
2026-08-08 00:56:16 - Step:   112 | Sim Clock Time:    11.20s | Max Depth: 0.018710m | Min Depth: 0.000001m
2026-08-08 00:56:16 - Step:   113 | Sim Clock Time:    11.30s | Max Depth: 0.019718m | Min Depth: 0.000001m
2026-08-08 00:56:16 - Step:   114 | Sim Clock Time:    11.40s | Max Depth: 0.019767m | Min Depth: 0.000001m
2026-08-08 00:56:16 - Step:   115 | Sim Clock Time:    11.50s | Max Depth: 0.021927m | Min Depth: 0.000001m
2026-08-08 00:56:17 - Step:   116 | Sim Clock Time:    11.60s | Max Depth: 0.018344m | Min Depth: 0.000001m
2026-08-08 00:56:17 - Step:   117 | Sim Clock Time:    11.70s | Max Depth: 0.023664m | Min Depth: 0.000001m
2026-08-08 00:56:17 - Step:   118 | Sim Clock Time:    11.80s | Max Depth: 0.019262m | Min Depth: 0.000001m
2026-08-08 00:56:17 - Step:   119 | Sim Clock Time:    11.90s | Max Depth: 0.020214m | Min Depth: 0.000001m
2026-08-08 00:56:17 - Step:   120 | Sim Clock Time:    12.00s | Max Depth: 0.028082m | Min Depth: 0.000001m
2026-08-08 00:56:17 - Step:   121 | Sim Clock Time:    12.10s | Max Depth: 0.018000m | Min Depth: 0.000001m
2026-08-08 00:56:17 - Step:   122 | Sim Clock Time:    12.20s | Max Depth: 0.024307m | Min Depth: 0.000001m
2026-08-08 00:56:17 - Step:   123 | Sim Clock Time:    12.30s | Max Depth: 0.028187m | Min Depth: 0.000001m
2026-08-08 00:56:17 - Step:   124 | Sim Clock Time:    12.40s | Max Depth: 0.017795m | Min Depth: 0.000001m
2026-08-08 00:56:17 - Step:   125 | Sim Clock Time:    12.50s | Max Depth: 0.027056m | Min Depth: 0.000001m
2026-08-08 00:56:17 - Step:   126 | Sim Clock Time:    12.60s | Max Depth: 0.022658m | Min Depth: 0.000001m
2026-08-08 00:56:17 - Step:   127 | Sim Clock Time:    12.70s | Max Depth: 0.018910m | Min Depth: 0.000001m
