Time Gauge0 Gauge1 Gauge2 Gauge3 Gauge4 Gauge5
2.600000e+01 -9.136302e-03 -5.521125e-04 -4.393466e-03 -4.918536e-03 -9.174747e-03 -1.768744e-02
2.620000e+01 -9.527059e-03 -8.428848e-04 -4.532989e-03 -5.568803e-03 -7.804126e-03 -1.617341e-02
2.640000e+01 -9.860050e-03 -1.098807e-03 -4.652363e-03 -5.333941e-03 -8.367965e-03 -1.436221e-02
2.660000e+01 -1.014419e-02 -1.318487e-03 -4.754935e-03 -4.708155e-03 -1.000092e-02 -1.167663e-02
2.680000e+01 -1.040535e-02 -1.504677e-03 -4.840004e-03 -4.310653e-03 -1.155640e-02 -8.725154e-03
2.700000e+01 -1.066090e-02 -1.656044e-03 -4.910929e-03 -4.123655e-03 -1.211347e-02 -5.830274e-03
2.720000e+01 -1.091802e-02 -1.778152e-03 -4.970576e-03 -3.842831e-03 -1.131702e-02 -4.610552e-03
2.740000e+01 -1.117339e-02 -1.873464e-03 -5.022836e-03 -3.800554e-03 -9.962746e-03 -4.820336e-03
2.760000e+01 -1.141820e-02 -1.950550e-03 -5.066240e-03 -4.064650e-03 -8.542040e-03 -5.817620e-03
2.780000e+01 -1.164436e-02 -2.012871e-03 -5.102749e-03 -4.015141e-03 -7.302311e-03 -6.937952e-03
2.800000e+01 -1.183795e-02 -2.064586e-03 -5.133793e-03 -3.620963e-03 -6.551359e-03 -7.217844e-03
2.820000e+01 -1.197452e-02 -2.107232e-03 -5.159821e-03 -2.795038e-03 -6.010055e-03 -6.805234e-03
2.840000e+01 -1.210020e-02 -2.144400e-03 -5.182934e-03 -1.626989e-03 -5.120521e-03 -6.116327e-03
2.860000e+01 -1.219366e-02 -2.177047e-03 -5.203047e-03 -8.657277e-04 -3.307834e-03 -5.648532e-03
2.880000e+01 -1.226370e-02 -2.205620e-03 -5.220540e-03 -5.704192e-04 -1.456276e-03 -5.498279e-03
2.900000e+01 -1.231715e-02 -2.232073e-03 -5.235536e-03 -8.964743e-05 -7.535363e-04 -5.171301e-03
2.920000e+01 -1.235961e-02 -2.257076e-03 -5.249538e-03 5.252832e-04 -1.009911e-03 -4.441206e-03
2.940000e+01 -1.239919e-02 -2.280095e-03 -5.260547e-03 1.024344e-03 -1.142358e-03 -2.734130e-03
2.960000e+01 -1.243666e-02 -2.301109e-03 -5.271554e-03 1.501172e-03 -9.654794e-04 -6.300822e-04
2.980000e+01 -1.246910e-02 -2.320101e-03 -5.281000e-03 1.881563e-03 -3.774576e-04 8.338015e-04
