# time_s gauge_0_train_simulated gauge_0_train_observed gauge_1_train_simulated gauge_1_train_observed gauge_2_test_simulated gauge_2_test_observed
1.9200000000e+01 2.8633104040e-02 3.0040000000e-02 2.0773337550e-02 2.5250000000e-02 2.1726263588e-02 1.6350000000e-02
1.9400000000e+01 2.6916750155e-02 3.1240000000e-02 2.2613939207e-02 2.2550000000e-02 1.9709256280e-02 1.5050000000e-02
1.9600000000e+01 2.5561828487e-02 2.7940000000e-02 2.3177679002e-02 2.3250000000e-02 1.7659691626e-02 1.4250000000e-02
1.9800000000e+01 2.4456069211e-02 2.9240000000e-02 2.1401873640e-02 1.9950000000e-02 1.5741982451e-02 1.4150000000e-02
2.0000000000e+01 2.3094974200e-02 2.3140000000e-02 1.9498833870e-02 1.6650000000e-02 1.4186332147e-02 1.6850000000e-02
2.0200000000e+01 2.1587050725e-02 2.0240000000e-02 1.8101587200e-02 1.9550000000e-02 1.3394561868e-02 1.2850000000e-02
2.0400000000e+01 2.0036968487e-02 2.3340000000e-02 1.6928245378e-02 1.5750000000e-02 1.2780982218e-02 1.0550000000e-02
2.0600000000e+01 1.8567788415e-02 1.9540000000e-02 1.5868716782e-02 1.8950000000e-02 1.2061266826e-02 1.1050000000e-02
2.0800000000e+01 1.7229194492e-02 1.8940000000e-02 1.5019256840e-02 1.4350000000e-02 1.1459659425e-02 1.0450000000e-02
2.1000000000e+01 1.5907630227e-02 1.7740000000e-02 1.4211877551e-02 1.3950000000e-02 1.0863750549e-02 1.0050000000e-02
2.1200000000e+01 1.4632159112e-02 1.8340000000e-02 1.3344541930e-02 1.7950000000e-02 1.0216282420e-02 1.1250000000e-02
2.1400000000e+01 1.3342611838e-02 1.3940000000e-02 1.2531389836e-02 1.2750000000e-02 9.6588315093e-03 1.0450000000e-02
2.1600000000e+01 1.1965434341e-02 1.0040000000e-02 1.1726054026e-02 1.1250000000e-02 9.1325292582e-03 9.7500000000e-03
2.1800000000e+01 1.0454868320e-02 7.3400000000e-03 1.0858304613e-02 9.3500000000e-03 8.4466591307e-03 8.7500000000e-03
2.2000000000e+01 8.8839190765e-03 6.8400000000e-03 9.9292176331e-03 8.6500000000e-03 7.6022926324e-03 8.7500000000e-03
2.2200000000e+01 7.3498078481e-03 5.2400000000e-03 8.9486927679e-03 8.0500000000e-03 6.7166843355e-03 6.4500000000e-03
2.2400000000e+01 5.8719100904e-03 4.2400000000e-03 7.9526176859e-03 7.4500000000e-03 5.8658200279e-03 4.7500000000e-03
2.2600000000e+01 4.4636814523e-03 3.0400000000e-03 6.9943328800e-03 6.6500000000e-03 5.0628380787e-03 3.9500000000e-03
2.2800000000e+01 3.1144876269e-03 1.5400000000e-03 6.0809364989e-03 3.6500000000e-03 4.2409804625e-03 3.5500000000e-03
2.3000000000e+01 1.7923737852e-03 9.4000000000e-04 5.2346070584e-03 1.2500000000e-03 3.3621681154e-03 3.0500000000e-03
2.3200000000e+01 4.7160169612e-04 1.4000000000e-04 4.4645285914e-03 8.5000000000e-04 2.4395934604e-03 1.8500000000e-03
2.3400000000e+01 -8.4829293961e-04 -7.6000000000e-04 3.7637308164e-03 5.5000000000e-04 1.4744758984e-03 9.5000000000e-04
2.3600000000e+01 -2.1302127967e-03 -1.1600000000e-03 3.1190706539e-03 4.5000000000e-04 5.0444294976e-04 3.5000000000e-04
2.3800000000e+01 -3.3471209194e-03 -2.1600000000e-03 2.5276339735e-03 -2.5000000000e-04 -4.3307275769e-04 -2.5000000000e-04
2.4000000000e+01 -4.4768168110e-03 -5.1600000000e-03 1.9846930638e-03 -1.7500000000e-03 -1.3274265428e-03 -6.5000000000e-04
2.4200000000e+01 -5.5047804589e-03 -6.1600000000e-03 1.4852550156e-03 -2.2500000000e-03 -2.1357392228e-03 -1.3500000000e-03
