# epoch total_loss train_loss test_loss first_derivative second_derivative amplitude gradient_norm learning_rate elapsed_seconds
9.9000000000e+01 8.2705683902e-06 8.2701744212e-06 5.8688410378e-06 3.0003813070e-07 6.1075619606e-09 3.2855236271e-05 3.5332645481e-06 2.0000000000e-02 8.3754371970e+01
1.0000000000e+02 8.2506469914e-06 8.2502529047e-06 5.8778005024e-06 3.0036401005e-07 6.0830314503e-09 3.2892376922e-05 3.5153466981e-06 2.0000000000e-02 8.4682325859e+01
1.0100000000e+02 8.2309071559e-06 8.2305129039e-06 5.8875871093e-06 3.0072618631e-07 6.0594083559e-09 3.2931741983e-05 3.5075730094e-06 2.0000000000e-02 8.3898947162e+01
1.0200000000e+02 8.2114455792e-06 8.2110511123e-06 5.8983198342e-06 3.0112543779e-07 6.0367979158e-09 3.2973447883e-05 3.5186393394e-06 2.0000000000e-02 8.4692286059e+01
1.0300000000e+02 8.1922653017e-06 8.1918705665e-06 5.9102325031e-06 3.0156323637e-07 6.0154332424e-09 3.3017655427e-05 3.4916118045e-06 2.0000000000e-02 8.4683260364e+01
1.0400000000e+02 8.1735645847e-06 8.1731695225e-06 5.9231446824e-06 3.0204177630e-07 5.9956258397e-09 3.3064189914e-05 3.4944580003e-06 2.0000000000e-02 8.4244070149e+01
1.0500000000e+02 8.1553215607e-06 8.1549261080e-06 5.9377402079e-06 3.0256314041e-07 5.9776194934e-09 3.3113339501e-05 3.4438950528e-06 2.0000000000e-02 8.4535410216e+01
1.0600000000e+02 8.1375528776e-06 8.1371569648e-06 5.9535907497e-06 3.0313042256e-07 5.9617422852e-09 3.3164979283e-05 3.3883904261e-06 2.0000000000e-02 8.4128744937e+01
1.0700000000e+02 8.1204069155e-06 8.1200104668e-06 5.9703283403e-06 3.0374673530e-07 5.9482917527e-09 3.3218954779e-05 3.3166422494e-06 2.0000000000e-02 8.3543587192e+01
1.0800000000e+02 8.1034851098e-06 8.1030880466e-06 5.9874734689e-06 3.0441327391e-07 5.9375008367e-09 3.3274904236e-05 3.2488336191e-06 2.0000000000e-02 8.3568946945e+01
1.0900000000e+02 8.0867823007e-06 8.0863845424e-06 6.0047858262e-06 3.0513015712e-07 5.9295641974e-09 3.3332514473e-05 3.1930854187e-06 2.0000000000e-02 8.3722817553e+01
1.1000000000e+02 8.0703631328e-06 8.0699645983e-06 6.0223707551e-06 3.0589621143e-07 5.9246642560e-09 3.3391670686e-05 3.1640117815e-06 2.0000000000e-02 8.4339109564e+01
1.1100000000e+02 8.0540655768e-06 8.0536661844e-06 6.0401767001e-06 3.0671132509e-07 5.9228728629e-09 3.3452337182e-05 3.0831404403e-06 2.0000000000e-02 8.3543054223e+01
1.1200000000e+02 8.0378880012e-06 8.0374876667e-06 6.0576281552e-06 3.0757600587e-07 5.9244412725e-09 3.3514092801e-05 3.0147448977e-06 2.0000000000e-02 8.4298524534e+01
1.1300000000e+02 8.0220852178e-06 8.0216838563e-06 6.0742185041e-06 3.0848938307e-07 5.9295508244e-09 3.3576562344e-05 2.9649335164e-06 2.0000000000e-02 8.3542744781e+01
1.1400000000e+02 8.0063285780e-06 8.0059261031e-06 6.0902821310e-06 3.0945178591e-07 5.9383535643e-09 3.3639638638e-05 2.9029309398e-06 2.0000000000e-02 8.4344985745e+01
1.1500000000e+02 7.9906264866e-06 7.9902228116e-06 6.1051661474e-06 3.1046188167e-07 5.9510073984e-09 3.3703025935e-05 2.8570616589e-06 2.0000000000e-02 8.4266704822e+01
1.1600000000e+02 7.9750823581e-06 7.9746773965e-06 6.1190990331e-06 3.1151868787e-07 5.9676386130e-09 3.3766526228e-05 2.8049207618e-06 2.0000000000e-02 8.4474370777e+01
1.1700000000e+02 7.9596733681e-06 7.9592670333e-06 6.1319594178e-06 3.1262109362e-07 5.9883866004e-09 3.3829847876e-05 2.7639353261e-06 2.0000000000e-02 8.4760053479e+01
1.1800000000e+02 7.9445586706e-06 7.9441508756e-06 6.1435082443e-06 3.1376848610e-07 6.0133715481e-09 3.3892812638e-05 2.7124353170e-06 2.0000000000e-02 8.4879778618e+01
1.1900000000e+02 7.9296073119e-06 7.9291979700e-06 6.1536907282e-06 3.1495973207e-07 6.0426964217e-09 3.3955275654e-05 2.6517116890e-06 2.0000000000e-02 8.4815800997e+01
1.2000000000e+02 7.9148016525e-06 7.9143906780e-06 6.1631877981e-06 3.1619302016e-07 6.0764071329e-09 3.4017390371e-05 2.6252835009e-06 2.0000000000e-02 8.4614388683e+01
1.2100000000e+02 7.8999975179e-06 7.8995848249e-06 6.1716424399e-06 3.1746797644e-07 6.1146104100e-09 3.4078906418e-05 2.5948215523e-06 2.0000000000e-02 8.4333284692e+01
1.2200000000e+02 7.8854316113e-06 7.8850171135e-06 6.1788817654e-06 3.1878421317e-07 6.1574069413e-09 3.4139568254e-05 2.5219521907e-06 2.0000000000e-02 8.4092241115e+01
1.2300000000e+02 7.8710080123e-06 7.8705916239e-06 6.1854746475e-06 3.2014059552e-07 6.2048068464e-09 3.4199752596e-05 2.4828073009e-06 2.0000000000e-02 8.4130830365e+01
1.2400000000e+02 7.8568089198e-06 7.8563905540e-06 6.1916040158e-06 3.2153757459e-07 6.2568759951e-09 3.4259490656e-05 2.4218814212e-06 2.0000000000e-02 8.4247769097e+01
1.2500000000e+02 7.8425921611e-06 7.8421717296e-06 6.1977035230e-06 3.2297595066e-07 6.3136643711e-09 3.4318937764e-05 2.4375385737e-06 2.0000000000e-02 8.3825613853e+01
1.2600000000e+02 7.8285579018e-06 7.8281353158e-06 6.2030825352e-06 3.2445536607e-07 6.3753213733e-09 3.4377401361e-05 2.3846960139e-06 2.0000000000e-02 8.3866862060e+01
1.2700000000e+02 7.8146479730e-06 7.8142231468e-06 6.2079841173e-06 3.2597303910e-07 6.4418190728e-09 3.4434933964e-05 2.3585814534e-06 2.0000000000e-02 8.3950585930e+01
1.2800000000e+02 7.8011162206e-06 7.8006890674e-06 6.2127296042e-06 3.2752958175e-07 6.5131960326e-09 3.4491646041e-05 2.3064148880e-06 2.0000000000e-02 8.3458135336e+01
1.2900000000e+02 7.7878538858e-06 7.7874243179e-06 6.2178038809e-06 3.2912528424e-07 6.5894818486e-09 3.4547786084e-05 2.2507440750e-06 2.0000000000e-02 8.3958129110e+01
1.3000000000e+02 7.7747998399e-06 7.7743677694e-06 6.2234838603e-06 3.3076049204e-07 6.6706652445e-09 3.4603410740e-05 2.2195603513e-06 2.0000000000e-02 8.4156493947e+01
1.3100000000e+02 7.7619267399e-06 7.7614920764e-06 6.2298087139e-06 3.3243682107e-07 6.7568123734e-09 3.4658537900e-05 2.1716042440e-06 2.0000000000e-02 8.3768668886e+01
1.3200000000e+02 7.7493706076e-06 7.7489332616e-06 6.2371087894e-06 3.3415345955e-07 6.8479252454e-09 3.4713301691e-05 2.1296475785e-06 2.0000000000e-02 8.4198817475e+01
1.3300000000e+02 7.7371709256e-06 7.7367308112e-06 6.2454106234e-06 3.3590763315e-07 6.9438939079e-09 3.4767839666e-05 2.0808533340e-06 2.0000000000e-02 8.4105875093e+01
1.3400000000e+02 7.7250454660e-06 7.7246024999e-06 6.2549737540e-06 3.3769756029e-07 7.0446652446e-09 3.4821914471e-05 2.0228056615e-06 2.0000000000e-02 8.3375945293e+01
1.3500000000e+02 7.7132459956e-06 7.7128001005e-06 6.2652655250e-06 3.3951895319e-07 7.1500798943e-09 3.4875310186e-05 1.9704051619e-06 2.0000000000e-02 8.4038120136e+01
1.3600000000e+02 7.7018294046e-06 7.7013805089e-06 6.2764371424e-06 3.4136821852e-07 7.2599507250e-09 3.4927981212e-05 1.9073605350e-06 2.0000000000e-02 8.4375517918e+01
1.3700000000e+02 7.6907842666e-06 7.6903323081e-06 6.2883615740e-06 3.4323919333e-07 7.3739633505e-09 3.4979709331e-05 1.8428164630e-06 2.0000000000e-02 8.4689799817e+01
